keyword,intent,priority,impressions_gap,locality,target_page,status,notes
sell home westerville ohio,seller,high,500,westerville,/areas/westerville/,active,Primary target - city page exists
1 percent commission columbus,seller,high,400,columbus,/1-percent-commission/,active,Core service page
first time homebuyer cash back ohio,buyer,high,350,columbus,/buyers/,active,Buyer service page
low commission realtor columbus ohio,seller,high,300,columbus,/sellers/,active,Sellers page
flat fee mls ohio,seller,medium,200,ohio,/compare/flat-fee-mls-vs-full-service/,active,Comparison page
sell home dublin ohio,seller,medium,180,dublin,/areas/dublin/,active,City page
sell home powell ohio,seller,medium,150,powell,/areas/powell/,active,City page
pre-listing inspection benefits,seller,medium,120,columbus,/pre-listing-inspection/,active,Service page
fsbo vs realtor columbus,seller,medium,100,columbus,/compare/fsbo-vs-1-percent-listing/,active,Comparison page
how much save 1 percent commission,seller,medium,90,ohio,/blog/how-much-save-selling-columbus-home-1-percent/,active,Blog post
sell home new albany ohio,seller,medium,80,new-albany,/areas/new-albany/,active,City page
closing costs columbus ohio,seller,medium,75,columbus,/blog/closing-costs-columbus-ohio/,active,Blog post
home staging tips columbus,seller,low,60,columbus,/blog/home-staging-tips-columbus/,active,Blog post
sell home gahanna ohio,seller,medium,55,gahanna,/areas/gahanna/,pending,City page exists
sell home hilliard ohio,seller,medium,50,hilliard,/areas/hilliard/,pending,City page exists
sell home worthington ohio,seller,medium,45,worthington,/areas/worthington/,pending,City page exists
43081 real estate,seller,medium,40,westerville,/areas/zip/43081/,pending,ZIP page needed
43082 homes for sale,buyer,medium,35,westerville,/areas/zip/43082/,pending,ZIP page needed
43035 real estate,seller,medium,30,lewis-center,/areas/zip/43035/,pending,ZIP page needed
olentangy schools homes,buyer,medium,25,lewis-center,/areas/lewis-center/,active,City page
